name,pos.clean,teamname,rawbirthdate,gp,shots,goals,assist1,assist2,points,goals.pp,assist1.pp,assist2.pp,points.pp,goals.sh,assist1.sh,assist2.sh,points.sh,goals.en,assist1.en,assist2.en,points.en,goals.ps,goals.ev,assist1.ev,assist2.ev,points.ev,season.name,ga,gf,team.shots.for,team.shots.against,team.goals,team.assist1,team.assist2,team.points,team.goals.pp,team.assist1.pp,team.assist2.pp,team.points.pp,team.goals.ev,team.assist1.ev,team.assist2.ev,team.points.ev,gfev,gaev,gfen,gaen,gfpp,gapp,gfsh,gash,team.GA.EV
James Hamblin,F,Medicine Hat Tigers,1999-04-27,70,208,21,24,19,64,10,9,3,22,3,1,0,4,0,0,0,0,0,8,14,16,38,2017 - 18 Regular Season,77,74,2232,2232,258,234,185,677,61,60,59,180,178,162,121,461,69,60,0,12,0,0,5,5,180
Spencer Bast,F,Moose Jaw Warriors,1997-01-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017 - 18 Regular Season,0,0,2232,2232,325,311,261,897,70,70,68,208,227,219,185,631,0,0,0,0,0,0,0,0,147
Dawson Davidson,D,Regina Pats,1998-04-07,69,135,10,17,16,43,4,8,11,23,1,0,0,1,0,0,0,0,0,5,9,5,19,2017 - 18 Regular Season,76,53,2232,2232,244,226,180,650,71,69,64,204,149,141,108,398,45,62,3,5,0,0,5,9,139
Nolan Kneen,D,Kamloops Blazers,1999-03-22,68,134,7,16,14,37,3,5,7,15,0,0,1,1,0,0,0,0,0,4,11,6,21,2017 - 18 Regular Season,72,55,2232,2232,210,195,156,561,56,53,45,154,140,132,106,378,51,63,2,7,0,0,2,2,147
Ralph Jarratt,D,Victoria Royals,1998-03-18,53,65,2,10,3,15,1,0,0,1,0,0,1,1,0,1,0,1,0,1,9,2,12,2017 - 18 Regular Season,38,53,2232,2232,285,267,214,766,86,86,84,256,182,169,127,478,50,37,1,1,0,0,2,0,159
Ryan Peckford,F,Moose Jaw Warriors,1999-03-04,73,132,20,17,12,49,6,1,3,10,0,0,0,0,0,2,1,3,0,14,14,8,36,2017 - 18 Regular Season,52,60,2232,2232,325,311,261,897,70,70,68,208,227,219,185,631,57,42,3,7,0,0,0,3,147
Brayden Pachal,D,Prince Albert Raiders,1999-08-23,68,149,7,11,8,26,0,4,2,6,0,1,0,1,0,0,0,0,0,7,6,6,19,2017 - 18 Regular Season,78,67,2232,2232,242,226,155,623,51,51,43,145,178,169,112,459,60,68,1,4,0,0,6,6,177
Reese Johnson,F,Red Deer Rebels,1998-07-10,72,147,23,10,6,39,6,3,4,13,3,0,0,3,0,1,0,1,0,14,6,2,22,2017 - 18 Regular Season,52,40,2232,2232,206,185,147,538,52,51,50,153,133,120,92,345,35,45,2,5,0,0,3,2,162
Jake Leschyshyn,F,Regina Pats,1999-03-10,64,158,18,14,8,40,3,3,6,12,2,1,0,3,3,1,1,5,0,10,9,1,20,2017 - 18 Regular Season,53,41,2232,2232,244,226,180,650,71,69,64,204,149,141,108,398,30,41,7,6,0,0,4,6,139
Scott Walford,D,Victoria Royals,1999-01-12,69,111,2,10,20,32,0,4,10,14,0,0,1,1,0,0,0,0,0,2,6,9,17,2017 - 18 Regular Season,64,66,2232,2232,285,267,214,766,86,86,84,256,182,169,127,478,57,58,0,4,0,0,9,2,159
Schael Higson,D,Brandon Wheat Kings,1998-05-11,71,111,5,8,15,28,1,4,1,6,0,1,1,2,0,1,1,2,0,4,2,12,18,2017 - 18 Regular Season,69,80,2232,2232,271,252,184,707,63,63,57,183,178,165,115,458,68,66,4,1,0,0,8,2,164
James Hilsendager,D,Kelowna Rockets,1997-03-20,54,87,6,11,7,24,3,4,1,8,0,0,1,1,0,1,1,2,0,3,6,4,13,2017 - 18 Regular Season,39,42,2232,2232,278,266,235,779,79,78,75,232,172,164,144,480,35,38,3,0,0,0,4,1,161
Maxwell James,F,Tri-City Americans,1997-04-13,58,106,7,9,5,21,3,4,1,8,1,0,0,1,1,1,1,3,0,2,4,3,9,2017 - 18 Regular Season,39,25,2232,2232,251,236,191,678,72,71,63,206,163,153,123,439,18,37,5,1,0,0,2,1,173
Brady Pouteau,D,Lethbridge Hurricanes,1998-01-09,59,68,1,7,5,13,0,0,0,0,0,0,0,0,0,1,0,1,0,1,6,5,12,2017 - 18 Regular Season,45,41,2232,2232,242,238,222,702,67,67,65,199,157,154,142,453,36,44,3,1,0,0,2,0,163
Vladislav Lukin,F,Tri-City Americans,1997-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017 - 18 Regular Season,0,0,2232,2232,251,236,191,678,72,71,63,206,163,153,123,439,0,0,0,0,0,0,0,0,173
Jake Elmer,F,Lethbridge Hurricanes,1998-12-31,70,115,18,6,13,37,0,1,1,2,1,1,0,2,1,0,1,2,0,16,4,11,31,2017 - 18 Regular Season,34,42,2232,2232,242,238,222,702,67,67,65,199,157,154,142,453,38,31,2,2,0,0,2,1,163
Erik Gardiner,F,Kelowna Rockets,1999-03-21,31,57,7,8,7,22,1,3,3,7,1,0,0,1,0,1,0,1,0,5,4,4,13,2017 - 18 Regular Season,22,20,2232,2232,278,266,235,779,79,78,75,232,172,164,144,480,17,20,1,1,0,0,2,1,161
Luc Smith,F,Kamloops Blazers,1998-01-20,62,137,21,12,11,44,6,0,5,11,1,0,0,1,1,2,1,4,0,13,10,5,28,2017 - 18 Regular Season,40,50,2232,2232,210,195,156,561,56,53,45,154,140,132,106,378,43,32,6,6,0,0,1,2,147
Nic Holowko,F,Kamloops Blazers,1997-06-26,17,41,4,5,0,9,0,1,0,1,0,0,0,0,0,0,0,0,0,4,4,0,8,2017 - 18 Regular Season,21,11,2232,2232,210,195,156,561,56,53,45,154,140,132,106,378,11,21,0,0,0,0,0,0,147
Donovan Neuls,F,Seattle Thunderbirds,1997-10-24,71,160,22,29,25,76,5,12,13,30,1,0,0,1,0,1,1,2,0,16,16,11,43,2017 - 18 Regular Season,59,71,2232,2232,242,232,196,670,63,62,60,185,168,161,131,460,66,49,4,5,0,0,1,5,170
Matthew Wedman,F,Seattle Thunderbirds,1999-05-25,72,181,17,18,12,47,6,1,2,9,0,0,1,1,1,0,0,1,0,10,17,9,36,2017 - 18 Regular Season,67,60,2232,2232,242,232,196,670,63,62,60,185,168,161,131,460,56,61,3,3,0,0,1,3,170
Gage Ramsay,F,Saskatoon Blades,1998-10-15,63,147,6,12,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,2,20,2017 - 18 Regular Season,56,33,2232,2232,235,220,165,620,58,58,51,167,162,154,112,428,32,46,1,5,0,0,0,5,182
Sahvan Khaira,D,Swift Current Broncos,1998-01-02,65,83,6,8,12,26,0,1,2,3,1,0,1,2,0,1,0,1,0,5,6,9,20,2017 - 18 Regular Season,55,71,2232,2232,280,259,213,752,82,82,78,242,174,162,128,464,62,54,7,1,0,0,2,0,138
Dawson Holt,F,Vancouver Giants,1999-02-16,65,102,12,12,10,34,1,3,3,7,1,3,0,4,0,1,0,1,0,10,5,7,22,2017 - 18 Regular Season,44,43,2232,2232,231,217,171,619,55,55,51,161,158,147,117,422,36,38,2,0,0,0,5,6,177
Brennan Menell,D,Lethbridge Hurricanes,1997-05-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017 - 18 Regular Season,0,0,2232,2232,242,238,222,702,67,67,65,199,157,154,142,453,0,0,0,0,0,0,0,0,163
Brendan Semchuk,F,Edmonton Oil Kings,1999-02-21,49,82,12,8,6,26,4,1,2,7,0,0,0,0,0,0,0,0,0,8,7,4,19,2017 - 18 Regular Season,37,32,2232,2232,231,217,171,619,55,55,51,161,158,147,117,422,32,36,0,0,0,0,0,1,177
Brennan Riddle,D,Lethbridge Hurricanes,1997-07-27,67,80,1,3,8,12,0,1,0,1,0,1,0,1,1,0,0,1,0,0,1,8,9,2017 - 18 Regular Season,57,46,2232,2232,242,238,222,702,67,67,65,199,157,154,142,453,39,53,5,4,0,0,2,0,163
Cody Paivarinta,D,Prince Albert Raiders,1998-06-13,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017 - 18 Regular Season,6,10,2232,2232,242,226,155,623,51,51,43,145,178,169,112,459,10,6,0,0,0,0,0,0,177
Cody Glass,F,Portland Winterhawks,1999-04-01,64,263,37,39,26,102,16,13,8,37,1,3,1,5,2,3,1,6,0,18,20,16,54,2017 - 18 Regular Season,44,87,2232,2232,273,259,204,736,69,69,64,202,177,168,126,471,73,37,9,6,0,0,5,1,136
Sean Montgomery,F,Prince Albert Raiders,1998-03-07,72,175,12,12,5,29,2,0,0,2,0,0,0,0,1,0,0,1,0,9,12,5,26,2017 - 18 Regular Season,47,50,2232,2232,242,226,155,623,51,51,43,145,178,169,112,459,45,45,1,1,0,0,4,1,177
Parker Kelly,F,Prince Albert Raiders,1999-05-14,69,216,29,23,7,59,6,3,1,10,4,1,0,5,0,0,0,0,0,19,19,6,44,2017 - 18 Regular Season,68,78,2232,2232,242,226,155,623,51,51,43,145,178,169,112,459,71,56,2,5,0,0,5,7,177
Alex Overhardt,F,Portland Winterhawks,1997-01-15,70,181,15,13,12,40,5,4,2,11,2,0,1,3,0,0,2,2,0,8,9,7,24,2017 - 18 Regular Season,37,59,2232,2232,273,259,204,736,69,69,64,202,177,168,126,471,48,31,7,5,0,0,4,1,136
Evan Weinger,F,Brandon Wheat Kings,1997-04-18,65,157,31,19,7,57,5,0,1,6,5,0,1,6,3,1,0,4,0,18,18,5,41,2017 - 18 Regular Season,54,63,2232,2232,271,252,184,707,63,63,57,183,178,165,115,458,52,48,5,3,0,0,6,3,164
Brendan De Jong,D,Portland Winterhawks,1998-03-23,68,125,6,9,10,25,1,5,4,10,0,0,0,0,0,0,0,0,0,5,4,6,15,2017 - 18 Regular Season,62,63,2232,2232,273,259,204,736,69,69,64,202,177,168,126,471,52,57,6,3,0,0,5,2,136
Wyatt Sloboshan,F,Regina Pats,1997-01-24,36,100,4,5,6,15,2,4,2,8,0,0,0,0,0,0,0,0,0,2,1,4,7,2017 - 18 Regular Season,29,18,2232,2232,244,226,180,650,71,69,64,204,149,141,108,398,16,24,1,3,0,0,1,2,139
Max Martin,D,Prince Albert Raiders,1999-07-25,72,129,8,14,10,32,2,5,3,10,0,1,0,1,0,0,0,0,0,6,8,7,21,2017 - 18 Regular Season,67,65,2232,2232,242,226,155,623,51,51,43,145,178,169,112,459,62,60,1,4,0,0,2,3,177
Justin  Almeida,F,Moose Jaw Warriors,1999-02-06,72,223,43,35,20,98,14,9,5,28,6,3,0,9,1,2,0,3,0,22,21,15,58,2017 - 18 Regular Season,49,92,2232,2232,325,311,261,897,70,70,68,208,227,219,185,631,76,45,5,0,0,0,11,4,147
Ethan O'Rourke,F,Everett Silvertips,1999-02-25,66,78,6,10,2,18,0,1,0,1,0,0,0,0,0,0,0,0,0,6,9,2,17,2017 - 18 Regular Season,29,25,2232,2232,215,200,150,565,48,47,43,138,150,144,106,400,25,24,0,4,0,0,0,1,201
Devante Stephens,D,Kelowna Rockets,1997-01-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017 - 18 Regular Season,0,0,2232,2232,278,266,235,779,79,78,75,232,172,164,144,480,0,0,0,0,0,0,0,0,161
Cal Foote,D,Kelowna Rockets,1998-12-13,60,154,19,27,24,70,3,14,15,32,0,1,1,2,0,0,2,2,0,16,12,6,34,2017 - 18 Regular Season,61,92,2232,2232,278,266,235,779,79,78,75,232,172,164,144,480,77,54,7,4,0,0,8,3,161
Kole Lind,F,Kelowna Rockets,1998-10-16,58,228,39,45,11,95,14,13,6,33,1,1,0,2,0,2,0,2,0,24,29,5,58,2017 - 18 Regular Season,45,69,2232,2232,278,266,235,779,79,78,75,232,172,164,144,480,64,40,3,3,0,0,2,2,161
Jack Flaman,F,Lethbridge Hurricanes,1997-04-15,21,43,6,3,2,11,1,1,0,2,1,1,0,2,0,0,0,0,0,4,1,2,7,2017 - 18 Regular Season,18,11,2232,2232,242,238,222,702,67,67,65,199,157,154,142,453,8,15,1,2,0,0,2,1,163
Bryce Kindopp,F,Everett Silvertips,1999-06-14,72,161,24,9,3,36,7,2,2,11,0,0,0,0,0,0,0,0,0,17,7,1,25,2017 - 18 Regular Season,30,37,2232,2232,244,230,188,662,76,75,74,225,157,149,111,417,36,27,0,2,1,0,0,1,120
Nolan Yaremko,F,Tri-City Americans,1998-05-17,70,173,22,19,15,56,3,3,8,14,0,2,0,2,0,2,0,2,0,19,12,7,38,2017 - 18 Regular Season,49,63,2232,2232,251,236,191,678,72,71,63,206,163,153,123,439,59,44,2,4,0,0,2,1,173
Jordy Stallard,F,Prince Albert Raiders,1997-09-18,72,248,44,32,15,91,17,7,4,28,1,0,0,1,0,1,0,1,0,26,24,11,61,2017 - 18 Regular Season,74,83,2232,2232,242,226,155,623,51,51,43,145,178,169,112,459,77,62,1,5,0,0,5,7,177
Carsen Twarynski,F,Kelowna Rockets,1997-11-24,68,210,45,14,13,72,18,3,3,24,4,1,0,5,2,1,0,3,0,21,9,10,40,2017 - 18 Regular Season,66,70,2232,2232,278,266,235,779,79,78,75,232,172,164,144,480,58,58,6,4,0,0,6,4,161
Jake Bean,D,Calgary Hitmen,1998-06-09,57,181,12,18,18,48,4,10,9,23,0,0,0,0,0,0,3,3,0,8,8,6,22,2017 - 18 Regular Season,65,58,2232,2232,222,209,146,577,53,50,49,152,147,140,88,375,50,59,7,4,0,0,1,2,178
Kobe Mohr,F,Edmonton Oil Kings,1999-05-30,58,88,11,7,10,28,2,3,6,11,1,0,0,1,1,0,0,1,0,7,4,4,15,2017 - 18 Regular Season,39,26,2232,2232,201,183,139,523,57,55,51,163,130,123,86,339,23,34,2,2,0,0,1,3,201
Brayden Gorda,D,Edmonton Oil Kings,1999-04-15,30,39,1,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,4,2017 - 18 Regular Season,28,16,2232,2232,201,183,139,523,57,55,51,163,130,123,86,339,14,28,0,0,0,0,2,0,201
Tyson Gruninger,F,Edmonton Oil Kings,1998-09-02,8,12,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2017 - 18 Regular Season,3,2,2232,2232,201,183,139,523,57,55,51,163,130,123,86,339,2,2,0,0,0,0,0,1,201
Braydyn Chizen,D,Kelowna Rockets,1998-05-09,61,76,6,6,7,19,0,0,0,0,0,1,1,2,0,1,0,1,0,6,4,6,16,2017 - 18 Regular Season,58,43,2232,2232,278,266,235,779,79,78,75,232,172,164,144,480,36,55,1,2,0,0,6,1,161
Ty Lewis,F,Brandon Wheat Kings,1998-03-05,70,238,44,33,23,100,11,13,10,34,3,0,1,4,1,0,0,1,0,29,20,12,61,2017 - 18 Regular Season,65,80,2232,2232,271,252,184,707,63,63,57,183,178,165,115,458,72,54,3,6,0,0,5,5,164
Stelio Mattheos,F,Brandon Wheat Kings,1999-06-14,68,223,43,31,16,90,16,8,12,36,4,1,0,5,1,3,0,4,0,22,19,4,45,2017 - 18 Regular Season,65,71,2232,2232,271,252,184,707,63,63,57,183,178,165,115,458,61,55,5,4,0,0,5,6,164
Linden McCorrister,F,Brandon Wheat Kings,1998-03-25,59,119,20,15,8,43,4,5,2,11,1,2,0,3,1,1,0,2,0,14,7,6,27,2017 - 18 Regular Season,49,48,2232,2232,271,252,184,707,63,63,57,183,178,165,115,458,39,43,5,2,0,0,4,4,164
Jared Legien,F,Regina Pats,1998-09-02,61,134,23,17,10,50,7,3,3,13,0,0,0,0,0,0,1,1,0,16,14,6,36,2017 - 18 Regular Season,41,43,2232,2232,244,226,180,650,71,69,64,204,149,141,108,398,42,37,1,2,0,0,0,2,139
Vince Loschiavo,F,Kootenay ICE,1998-03-21,68,175,19,6,11,36,3,2,5,10,0,0,0,0,0,0,0,0,0,16,4,6,26,2017 - 18 Regular Season,35,40,2232,2232,325,311,261,897,70,70,68,208,227,219,185,631,40,33,0,2,0,0,0,0,147
Cale Fleury,D,Kootenay ICE,1998-11-19,68,167,12,19,20,51,6,4,6,16,1,1,0,2,0,0,2,2,0,5,14,12,31,2017 - 18 Regular Season,69,86,2232,2232,244,226,180,650,71,69,64,204,149,141,108,398,72,59,10,4,0,0,4,6,139
Conner McDonald,D,Edmonton Oil Kings,1999-05-31,71,197,10,18,14,42,4,8,9,21,0,0,0,0,0,0,0,0,0,6,10,5,21,2017 - 18 Regular Season,78,61,2232,2232,201,183,139,523,57,55,51,163,130,123,86,339,60,68,0,3,0,0,1,7,201
Tanner Jeannot,F,Moose Jaw Warriors,1997-05-29,72,276,40,19,21,80,4,2,2,8,3,2,0,5,1,2,0,3,0,32,13,19,64,2017 - 18 Regular Season,44,93,2232,2232,325,311,261,897,70,70,68,208,227,219,185,631,81,41,6,1,0,0,6,2,147
Jared Bethune,F,Prince George Cougars,1997-01-20,71,187,21,24,24,69,5,8,8,21,5,0,1,6,1,0,0,1,0,10,16,15,41,2017 - 18 Regular Season,79,65,2232,2232,215,200,150,565,48,47,43,138,150,144,106,400,56,68,2,7,0,0,7,4,201
Aaron Hyman,D,Regina Pats,1998-04-19,54,50,3,2,8,13,0,0,0,0,0,0,2,2,0,0,0,0,0,3,2,6,11,2017 - 18 Regular Season,33,40,2232,2232,244,226,180,650,71,69,64,204,149,141,108,398,35,32,1,0,0,0,4,1,139
Dylan Plouffe,D,Vancouver Giants,1999-04-27,60,128,9,13,18,40,5,5,5,15,0,0,0,0,0,0,0,0,0,4,8,13,25,2017 - 18 Regular Season,52,57,2232,2232,231,217,171,619,55,55,51,161,158,147,117,422,54,45,1,1,0,0,2,6,177
Josh Maser,F,Prince George Cougars,1999-01-18,71,154,28,11,10,49,10,1,4,15,0,0,0,0,1,1,0,2,0,17,9,6,32,2017 - 18 Regular Season,70,50,2232,2232,215,200,150,565,48,47,43,138,150,144,106,400,46,60,2,2,0,0,2,8,201
Branden Klatt,F,Moose Jaw Warriors,1998-10-20,69,62,7,4,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,4,15,2017 - 18 Regular Season,21,25,2232,2232,325,311,261,897,70,70,68,208,227,219,185,631,25,21,0,0,0,0,0,0,147
Brett Davis,F,Kootenay ICE,1999-06-01,72,200,25,25,8,58,6,14,2,22,4,1,0,5,1,0,1,2,0,14,10,5,29,2017 - 18 Regular Season,68,49,2232,2232,215,202,153,570,56,56,50,162,145,134,99,378,41,50,3,10,0,0,5,8,193
Michael Rasmussen,F,Tri-City Americans,1999-04-17,47,150,31,18,10,59,17,4,3,24,0,0,0,0,0,0,1,1,0,14,14,6,34,2017 - 18 Regular Season,35,52,2232,2232,251,236,191,678,72,71,63,206,163,153,123,439,49,30,3,2,0,0,0,3,173
Zane Franklin,F,Lethbridge Hurricanes,1999-01-05,67,91,14,13,11,38,5,4,0,9,0,0,0,0,2,0,2,4,0,7,9,9,25,2017 - 18 Regular Season,63,45,2232,2232,242,238,222,702,67,67,65,199,157,154,142,453,40,52,5,4,0,0,0,7,163
Barrett Sheen,F,Kootenay ICE,1998-09-20,60,55,5,11,5,21,0,1,0,1,0,0,0,0,0,0,0,0,0,5,10,5,20,2017 - 18 Regular Season,29,28,2232,2232,325,311,261,897,70,70,68,208,227,219,185,631,28,28,0,0,0,0,0,1,147
Jake Kustra,D,Saskatoon Blades,1999-04-20,71,86,4,7,7,18,0,1,0,1,1,0,0,1,0,0,0,0,0,3,6,7,16,2017 - 18 Regular Season,67,48,2232,2232,235,220,165,620,58,58,51,167,162,154,112,428,42,63,2,2,0,0,4,2,182
Lukus MacKenzie,F,Portland Winterhawks,1999-04-26,59,61,2,4,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,7,13,2017 - 18 Regular Season,14,24,2232,2232,273,259,204,736,69,69,64,202,177,168,126,471,24,12,0,0,0,0,0,2,136
Ryan Pouliot,D,Kootenay ICE,1998-05-26,64,91,2,3,5,10,1,0,0,1,0,0,1,1,0,0,0,0,0,1,3,4,8,2017 - 18 Regular Season,66,43,2232,2232,215,202,153,570,56,56,50,162,145,134,99,378,38,61,1,0,0,0,4,5,193
Brogan O'Brien,F,Prince George Cougars,1997-08-13,52,120,17,14,10,41,2,8,5,15,3,1,0,4,0,0,0,0,1,11,5,5,21,2017 - 18 Regular Season,59,41,2232,2232,215,200,150,565,48,47,43,138,150,144,106,400,36,47,0,6,0,0,5,6,201
Spencer Gerth,F,Everett Silvertips,1998-05-15,70,48,5,3,2,10,0,1,0,1,0,0,0,0,0,0,0,0,0,5,2,2,9,2017 - 18 Regular Season,16,18,2232,2232,244,230,188,662,76,75,74,225,157,149,111,417,18,16,0,0,0,0,0,0,120
Yan Khomenko,F,Victoria Royals,1998-03-31,20,33,2,8,1,11,1,0,0,1,0,2,0,2,0,0,0,0,0,1,6,1,8,2017 - 18 Regular Season,9,12,2232,2232,285,267,214,766,86,86,84,256,182,169,127,478,10,9,0,0,0,0,2,0,159
Brandon Schuldhaus,D,Moose Jaw Warriors,1998-02-23,64,104,8,7,12,27,0,0,0,0,0,1,2,3,0,0,0,0,0,8,6,10,24,2017 - 18 Regular Season,60,75,2232,2232,325,311,261,897,70,70,68,208,227,219,185,631,63,60,3,0,0,0,9,0,147
Jarret Tyszka,D,Seattle Thunderbirds,1999-03-15,70,137,8,15,17,40,1,11,8,20,0,0,0,0,0,0,0,0,0,7,4,9,20,2017 - 18 Regular Season,67,56,2232,2232,242,232,196,670,63,62,60,185,168,161,131,460,55,59,1,2,0,0,0,6,170
Elijah Brown,F,Medicine Hat Tigers,2000-01-05,43,57,8,10,5,23,2,2,0,4,0,0,0,0,0,0,0,0,0,6,8,5,19,2017 - 18 Regular Season,32,26,2232,2232,258,234,185,677,61,60,59,180,178,162,121,461,26,30,0,1,0,0,0,1,180
Artyom Minulin,D,Swift Current Broncos,1998-10-01,64,139,13,17,13,43,5,7,6,18,0,0,1,1,2,0,0,2,0,6,10,6,22,2017 - 18 Regular Season,47,84,2232,2232,280,259,213,752,82,82,78,242,174,162,128,464,74,43,6,0,0,0,4,4,138
Conner Chaulk,F,Calgary Hitmen,1997-05-20,56,102,16,10,5,31,3,2,1,6,1,2,0,3,2,0,0,2,0,10,6,4,20,2017 - 18 Regular Season,31,36,2232,2232,222,209,146,577,53,50,49,152,147,140,88,375,29,27,3,2,0,0,4,2,178
Tanner Mole,F,Swift Current Broncos,1999-04-06,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017 - 18 Regular Season,0,0,2232,2232,280,259,213,752,82,82,78,242,174,162,128,464,0,0,0,0,0,0,0,0,138
Luka Burzan,F,Brandon Wheat Kings,2000-01-07,72,168,15,15,10,40,2,1,2,5,1,0,0,1,0,0,0,0,0,12,14,8,34,2017 - 18 Regular Season,45,51,2232,2232,271,252,184,707,63,63,57,183,178,165,115,458,48,41,2,3,0,0,1,1,164
Jett Woo,D,Moose Jaw Warriors,2000-07-27,44,83,9,6,10,25,2,1,5,8,0,0,1,1,0,0,0,0,0,7,5,4,16,2017 - 18 Regular Season,35,64,2232,2232,325,311,261,897,70,70,68,208,227,219,185,631,57,34,4,0,0,0,3,1,147
Brayden Watts,F,Vancouver Giants,1999-02-21,70,103,17,11,11,39,4,1,4,9,1,0,0,1,1,1,0,2,0,11,9,7,27,2017 - 18 Regular Season,56,44,2232,2232,231,217,171,619,55,55,51,161,158,147,117,422,40,51,3,1,0,0,1,4,177
Jonas Harkins,D,Prince George Cougars,2000-12-26,21,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2017 - 18 Regular Season,8,5,2232,2232,215,200,150,565,48,47,43,138,150,144,106,400,5,8,0,0,0,0,0,0,201
Peter Kope,D,Prince George Cougars,1999-03-30,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2017 - 18 Regular Season,0,3,2232,2232,215,200,150,565,48,47,43,138,150,144,106,400,3,0,0,0,0,0,0,0,201
Joel Lakusta,D,Prince George Cougars,1998-06-24,70,125,9,18,15,42,3,5,4,12,0,2,0,2,1,0,0,1,0,5,11,11,27,2017 - 18 Regular Season,79,68,2232,2232,215,200,150,565,48,47,43,138,150,144,106,400,61,75,1,0,0,0,6,4,201
Jackson Leppard,F,Prince George Cougars,2000-01-18,68,145,15,14,7,36,7,3,3,13,0,0,0,0,0,0,0,0,0,8,11,4,23,2017 - 18 Regular Season,56,46,2232,2232,215,200,150,565,48,47,43,138,150,144,106,400,45,44,0,4,0,0,1,8,201
Tyler Ho,F,Vancouver Giants,2000-10-02,57,37,1,6,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2,9,2017 - 18 Regular Season,24,14,2232,2232,231,217,171,619,55,55,51,161,158,147,117,422,14,24,0,0,0,0,0,0,177
Brett Clayton,F,Portland Winterhawks,1998-11-22,61,58,4,2,4,10,0,0,0,0,0,1,0,1,0,0,0,0,0,4,1,4,9,2017 - 18 Regular Season,17,15,2232,2232,273,259,204,736,69,69,64,202,177,168,126,471,14,17,0,0,0,0,1,0,136
Jake Hobson,D,Swift Current Broncos,1999-07-31,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017 - 18 Regular Season,2,2,2232,2232,280,259,213,752,82,82,78,242,174,162,128,464,2,2,0,0,0,0,0,0,138
Bronson Sharp,F,Everett Silvertips,1999-12-29,49,49,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,2017 - 18 Regular Season,12,12,2232,2232,273,259,204,736,69,69,64,202,177,168,126,471,12,12,0,0,0,0,0,0,136
Jackson Caller,D,Saskatoon Blades,1999-07-15,70,78,3,10,13,26,0,3,5,8,0,0,1,1,0,0,0,0,0,3,7,7,17,2017 - 18 Regular Season,63,55,2232,2232,235,220,165,620,58,58,51,167,162,154,112,428,52,56,1,4,0,0,2,3,182
Conor MacEachern,F,Portland Winterhawks,1998-12-08,62,43,3,7,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,5,15,2017 - 18 Regular Season,28,35,2232,2232,273,259,204,736,69,69,64,202,177,168,126,471,35,28,0,0,0,0,0,0,136
Ryan Hughes,F,Portland Winterhawks,1999-07-27,46,124,17,15,9,41,3,1,3,7,1,0,0,1,1,0,0,1,0,12,14,6,32,2017 - 18 Regular Season,37,48,2232,2232,273,259,204,736,69,69,64,202,177,168,126,471,45,32,2,4,0,0,1,1,136
Max Gerlach,F,Medicine Hat Tigers,1998-04-04,65,195,35,17,18,70,11,8,10,29,0,1,0,1,1,0,0,1,0,23,8,8,39,2017 - 18 Regular Season,69,57,2232,2232,258,234,185,677,61,60,59,180,178,162,121,461,55,48,1,13,0,0,1,8,180
Tyler Preziuso,F,Medicine Hat Tigers,1999-01-19,66,125,17,8,8,33,0,0,0,0,2,0,0,2,1,1,0,2,0,14,7,8,29,2017 - 18 Regular Season,50,51,2232,2232,258,234,185,677,61,60,59,180,178,162,121,461,44,48,5,1,0,0,2,1,180
Luke Zazula,D,Kamloops Blazers,2000-05-18,48,80,3,0,3,6,1,0,2,3,0,0,0,0,0,0,0,0,0,2,0,1,3,2017 - 18 Regular Season,35,23,2232,2232,210,195,156,561,56,53,45,154,140,132,106,378,21,32,2,0,0,0,0,3,147
Jackson Shepard,F,Kamloops Blazers,2000-02-28,72,129,9,9,4,22,1,1,0,2,0,1,0,1,0,0,1,1,0,8,7,3,18,2017 - 18 Regular Season,37,31,2232,2232,210,195,156,561,56,53,45,154,140,132,106,378,30,34,1,2,0,0,0,1,147
